Title,Genre,Plot,Is the movie primarily a love story or romance?,Does the plot revolve around family dynamics or drama?,Is there a significant element of friendship in the movie?,Is the movie set in a rural village?,Is there a major focus on social or political issues?,Does the movie feature a strong female lead character?,Is the protagonist seeking revenge as part of the story?,Is there a supernatural or fantasy element in the plot?,Is the movie set during a historical period?,Does the plot involve a wedding or marriage as a central theme?,Is there a significant action or crime-related element in the movie?,Is the movie a biopic or based on true events?,Does the film involve a journey or travel as part of the story?,Is the movie known for its music or significant song sequences?,Does the movie take place in a metropolitan city or urban setting?
Arranged,"Drama, Short",The show follows the story of Richa and Tarun who meet when they are set up on an arranged marriage. They converse and get to know more about each other all in presence of their parents. The plot follows the couple trying to form this new union amidst all odds.,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No
Jaspreet Singh: Koi Load Nahi,Comedy,"Jaspreet Singh takes on ""mundane"" topics like the ever-growing motivation market, godmen, serious parenting to the ""tough"" bouncers like his door bell, the salad he made and the absurdity of the teenage. His first comedy special is a perfect amalgamation of his niche observations, signature laid back attitude with quick paced punchlines.",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Sharmaji Namkeen,"Comedy, Drama","Late Rishi Kapoor in his swansong plays B. G. Sharma, a 58-year old middle-class widower living in West Delhi. After being laid off from the company he has worked for his entire life, Sharmaji struggles to deal with the beast called retirement. His struggle to stay relevant in front of his two sons finally ends when he rekindles his love for cooking through a kitty party. A bunch of merry women rekindle in Sharma, a passion for cooking and chutzpah in general, that help him find his true calling.",No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes
Kaun Pravin Tambe?,Drama,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes
Attack,"Action, Science Fiction, Thriller","With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi.",No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes
Cobalt Blue,"Romance, Drama","When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No
Disconnect,"Drama, Romance","A Comedy-Drama film that tells us the importance of genuine bonds and relationships in the world of fake social media followers and online friends. It started off in the mid-90s era when the telephone was the only source of communication, apart from meeting people in person. The story showcases the life of Jatinder, his best friend Babban, and the love of his life Dolly and how the smartphone era changed their outlook on the world and puts their relationship to the test.",Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No
Dasvi,"Drama, Comedy","Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Kadaknath,"Comedy, Drama","All hell breaks loose when two separate guests coming for completely different purposes accidentally interchange their visiting time. The loving father has invited a royal family whom he has not seen before for the prospect of marrying off his dark-skinned daughter. His stay-at-home brother-in-law has posted a YouTube video inviting anyone who wants to buy their special-breed black chicken. The royal family is expected in the morning but they delay their arrival to show-off, and the chicken buyers show up in the morning to crack the deal early. Confusion becomes an understatement when the chicken buyers are assumed to be the groom and afterwards the royal family as cheap bird lovers.",No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No
Hurdang,"Drama, Romance","In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes
Supreme Motherhood : The Journey of Mata Sahib Kaur,"Animation, Adventure, History","The confusing story of Mata Sahib Kaur Ji, also known as the Mother of the Khalsa. In reality she became a strong female leader of the Khalsa nation in 17th and 18th-century India but this movie has not done a good job in capturing it.",No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No
Operation Romeo,"Drama, Thriller",Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes
Jersey,Drama,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Runway 34,"Thriller, Drama","A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes
Pariah,"Drama, Short","A new tenant in his home, the enigmatic Pankaj intrigues Rahul stirring within him a yearning he doesn't quite understand yet. But there's trouble brewing when Pankaj's caste becomes known to the family. Pankaj, at odds with his feelings for a guy that are twice tabooed, struggles to keep a roof over his head. Conflicted by his growing love for a man his family considers beneath them, Rahul must decide what truly matters – age old prejudices or the joy of first love.",Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes
Badboli Bhavna,"Drama, Short",Life can be difficult if your partner is a social media influencer and the story of Badboli Bhavna revolves around that. The film produced by India Lifestyle Network and directed by Pranjal Dua revolves around the life of Bhavna a budding social media influencer (Apoorva) and her introvert husband Sankalp (Ankush) who are in a constant struggle of striking the perfect balance between their personal and digital lives and keeping them separate.,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes
The Conversion,Drama,"A Movie that explores the sensitive topic of religious conversion, this movie is a captivating drama depicting girl's dilemma of what happens in an inter-faith marriage that results in religious conversion.",No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Thar,"Western, Action, Thriller, Drama, Crime",A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No
Mere Desh Ki Dharti,"Comedy, Drama",Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No
Dark Rose: The Name of Fear,Thriller,"Choices between right or wrong, sanjana had two choice either to let her Ex reveals her secret or to do whatever he telling. But she don't know that it will change her life forever, Let's see what will sanjana choose.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No
Khel Kood Aur Bhoot,Horror,"This is a story inspired by true events of six friends who embark on a documentary-film-making adventure to figure out whether ghosts exists or not. Their interviews with the common people lead them to a supposedly-haunted house in the suburb of Panvel near Mumbai, where they come face-to-face with the frightening truth.",No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
Jayeshbhai Jordaar,"Comedy, Drama","A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No
Triple Cross,"Thriller, Action","Three strangers, A Hitman - Haider Pasha, A Gangster - Amjad Daniyal and a Sidekick - Abeer Gul gets trapped in a Carnivorous environment. Things are not what they seems. Outcast, Betrayed, all three suspecting each other are fighting for their life.",No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes
A Bit of Happiness,"Drama, Short","A househusband and his transperson partner discover happiness at the end of their miserable day with the assistance of care and affection for each other in an utopian building in the city where disabled, blind, gay, and transgender people live peacefully.",Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
Chitrakut,Drama,"Chitrakut revolves around the lives of five people, their journey of change and metamorphosis as they search for love and companionship. When Debu met Alisha the beginning of a great love story blossomed in his head, unknown to him she was in a desperate attempt to get over her past love.",Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Jungle Cry,Drama,"12 boys from Kalinga Institute with no clue about rugby, trained hard to master this beautiful sport. Not only that, within just 4 months, they became the roaring The Jungle Cats of India and went on to win the 2007 Under-14 Rugby World Cup.",No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No
Dhaakad,Action,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes
Bhool Bhulaiyaa 2,"Horror, Comedy","When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No
The Cannabis Diary,Crime,"Traumatized from his past killings, Arjun Singh looks for clues related to his nightmares. During his investigation, Arjun Singh discovers the real importance of Medical Marijuana for the mankind.",No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No
Love in Ukraine,"Romance, Action, Thriller","When an Indian student falls in love with a Ukrainian girl who has been promised to be married to a Mafia family, their innocent one-night stand turns into an epic chase of mayhem and retribution.",Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
Amaris,Drama,Amaris revolves around Vikram's fixation on his girlfriend's loyalty which blurs the line of sanity. What will he do next?,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No
Anek,"Action, Thriller","Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No
Motu Patlu : Kung Fu Kings 6: The Secret of Devil's Heart,"Comedy, Animation, TV Movie","Motu Patlu go to save Boxer's brother from Modern city from a evil Kungfu Master name Wuhan Gorrila, who has kidnapped this man to get the fourth part of a Map, which will give tell route for the Devil's heart.",No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes
First Second Chance,Drama,Everyone gets a second chance in his or her life .. ha ha ha,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Samrat Prithviraj,"Action, Drama, History","The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Dear Dia,Drama,"The movie Dear Dia is a Hindi remake of the super-hit Kannada film ""Dia"". The movie revolves around a love story between Mihika Kushwaha, Pruthvi Ambaar, and Ujjwal Sharma who are playing the lead actors. The film is directed by KS Ashoka, produced by Kamlesh Singh Kushwaha and will be released under the Netrix Entertainment Pvt Ltd banner. This musical youthful love story is driven through the music of Jubin Nautiyal, Shankar Mahadevan, Palak Muchhal and Jyotica Tangri.",Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No
Ardh,"Drama, Comedy","Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes
