title,genre,plot,release_date,directors,"is the movie either drama, adventure, or music?","is the movie either romance, mystery, or history?","is the movie either action, horror, or documentary?","is the movie either comedy, family, or fantasy?",is the movie released in the 2010s or 1990s?,"is the movie released in the 2020s, 2000s, or 1980s?","is the movie released in the 1970s, 1960s, 1950s, 1940s, 1930s, or 1920s?","is the movie directed by david dhawan, mahesh bhatt, ram gopal varma, vikram bhatt, or priyadarshan?","is the movie directed by rama rao tatineni, k. bapaiah, ram gopal varma, vikram bhatt, or david dhawan?","is the movie directed by shantaram rajaram vankudre, mehboob khan, hrishikesh mukherjee, bimal roy, or adoor gopalakrishnan?",imdb_id,cast,"Does the movie feature any of these actors: Mithun Chakraborty, Akshay Kumar, Ajay Devgn, Govinda, or Jackie Shroff?","Is one of these actors in the movie: Mithun Chakraborty, Amitabh Bachchan, Sanjay Dutt, Jeetendra, or Raj Babbar?","Does the cast include any of these actors: Ashok Kumar, Dev Anand, Raj Kapoor, Vyjayanthimala, or Meena Kumari?"
Chuskit,"['Drama', ' Family']","To chase her dream of going to school in her remote Himalayan village, a feisty paraplegic girl locks horns with her tradition-bound grandfather.",2019-02-18,['Priya Ramasubban'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt8779064,"Morup Namgyal, Sonam Angchok, Jigmet Dewa Lhamo",No,No,No
Lateef To Laden,['Comedy'],"It's a story of a shepherd 'Lateef'. He lives in a small town of Kashmir. He is a very innocent boy. He is less educated but wants to join the police. One day he meet with a girl 'Chandni'. Chandni is a college going girl. They become friends. One day Chandini tells him that she like militants a lot. Lateef is a shepherd and spend most of his time in jungle. He had some militant friends, they suggested him to become a militant to impress the Chandni, but he refuses. They insist him if he don't want to become militant, just act as a militant so that Chandni will be impressed.",2018-10-26,"['Shahid Kazmi', 'Sajad Khaki']",No,No,No,Yes,Yes,No,No,No,No,No,tt9725058,"Tariq Imtyaz, Priyanka Chahar Choudhary, Udai Bhat",No,No,No
The Journey of Karma,['Drama'],"A girl from the slum whose only dream is to work aboard travels through her journey full of twist n turns, surprises, lust with a mysterious old man.",2018-10-26,['Jagbir Dahiya'],Yes,No,No,No,Yes,No,No,No,No,No,tt9070934,"Poonam Pandey, Ritesh Kumar, Shakti Kapoor",No,No,No
Lovefucked,"['Romance', ' Drama']","A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.",2018-10-26,['Aadish Keluskar'],Yes,Yes,No,No,Yes,No,No,No,No,No,tt8998738,"Khushboo Upadhyay, Himanshu Kohli, Rohit Kokate",No,No,No
Baazaar,"['Crime', ' Drama', ' Thriller']","After moving to Mumbai, an ambitious young man becomes the stock trader for a notorious businessman.",2018-10-26,"['Gauravv K. Chawla', 'Samuel Wilde']",Yes,No,No,No,Yes,No,No,No,No,No,tt6514196,"Chitrangda Singh, Radhika Apte, Saif Ali Khan",No,No,No
Dassehra,['Thriller'],Honest inspector Aditi Singh and hard-boiled cop Rudra investigate a multiple suicide case. They stumble upon a darker truth revolving around the corrupt politician Yadav and Shankar. The political nexus forces Rudra to become the angry-young-man and one-man-army all rolled into one.,2018-10-26,"['Manish Vatssalya', 'Saurabh Choudhary']",No,No,No,No,Yes,No,No,No,No,No,tt2759338,"Neil Nitin Mukesh, Manish Vatssalya, Tina Desai",No,No,No
Kaashi in Search of Ganga,"['Thriller', ' Drama']",Devina a newspaper journalist from Lucknow falls in love with Kashi and things go awry when Kashi’s sister Ganga goes missing.,2018-10-26,['Dhiraj Kumar'],Yes,No,No,No,Yes,No,No,No,No,No,tt7274806,"Aishwarya Devan, Kranti Prakash Jha, Prince Adhikari",No,No,No
Taking the Horse to Eat Jalebis,['Drama'],"Fusing documentary-realism with magic-realism, and true and fictionalised stories  with poetry and dreams, Ghode Ko Jalebi Khilane Le Ja Riya Hoon is a love letter  to the syncretic culture of Old Delhi, to its history which is slowly losing itself amid  concrete and smog",2022-06-10,['Anamika Haksar'],Yes,No,No,No,No,Yes,No,No,No,No,tt9061618,"Raghubir Yadav, Ravindra Sahu, Gopalan",No,No,No
Love Training,['Comedy'],"Love Training is a Hindi movie released on 2 Nov 2018. featured Rajpal Yadav, Akhilendra Mishra, Sakshi Gulati and Nishant Malkani as lead characters.",2018-11-02,"['Hemanth Kumar', 'Hemanth Kumar']",No,No,No,Yes,Yes,No,No,No,No,No,tt9683802,"Akhilendra Mishra, Ratnakar Mavilach, Shakti Kapoor",No,No,No
Ekkees Tareekh Shubh Muhurat,['Drama'],It is a story of a 55-year-old man Pandit Girdhari Laal Sharma who wants to escape his family legacy of becoming a priest and aspires to become a storyteller instead. His reality is that he is stuck trying to find a date for his daughter's wedding. What follows is a series of unfortunate events which land him in jail. His dream starts unfolding in the most unexpected way as his stories find an audience amongst the prisoners.,2018-11-02,['Pavan Kumar'],Yes,No,No,No,Yes,No,No,No,No,No,tt7769346,"Mahesh Sharma, Sanjay Mishra, Kajal Jain",No,No,No
Jack & Dil,"['Romance', ' Comedy']","Jack, a comical detective is hired by Waliaji to spy on his wife but things go upside down when Jack ends up falling in love with his client's wife.",2018-11-02,['Sachin P. Karande'],No,Yes,No,Yes,Yes,No,No,No,No,No,tt6144958,"Arbaaz Khan, Amit Sadh, Sonal Chauhan",No,No,No
Lupt,"['Horror', ' Thriller']",A road trip turns into a spooky nightmare as a family of four is attacked by strange entities,2018-11-02,['Prabhuraj'],No,No,Yes,No,Yes,No,No,No,No,No,tt8698956,"Jaaved Jaaferi, Vijay Raaz, Niki Walia",No,No,No
The Gold-Laden Sheep and The Sacred Mountain,['Mystery'],"After an Air Force jet crashes in the Himalayas, an old shepherd leaves his herd  to find its pilot. But the mountain where the jet fell is sacred and the shepherd’s  intentions are not. He struggles across dimensions of space and time as he treads on  forbidden ground. The herd left behind disintegrates as predators roam around, and  they are left headless.",2018-11-04,['Ridham Janve'],No,Yes,No,No,Yes,No,No,No,No,No,tt5759656,"Arjun Pant, Lokendra Gurung",No,No,No
Nirahua Hindustani 3,"['Action', ' Romance', ' Comedy']","Bhojpuri language film.  Nirahua, a young man, escapes to Mumbai to find a perfect bride for him. However, things take a turn when he falls for a struggling actress, Sona, but is forced to marry another woman, Champa.",2018-11-06,['Manjul Thakur'],No,Yes,Yes,Yes,Yes,No,No,No,No,No,tt11238050,"Sanjay Pandey, Amrapali Dubey, Pawan Rajput",No,No,No
Thugs of Hindostan,"['Adventure', ' Action']","After the British company’s officer Clive takes over the kingdom of Mirza, Princess Zafira and Khudabaksh aka Azaad form a band of rebel pirates who swear to defeat the English officer and win their freedom back. The British Company in return, hire the wily thug Firangi track Azaad’s gang and thwart his plans.",2018-11-07,['Vijay Krishna Acharya'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt5970844,"Aamir Khan, Amitabh Bachchan, Lloyd Owen",No,Yes,No
Hotel Milan,['Drama'],"Two friends start a hotel called Milan, a convenient destination for lovers to meet but things don't turn as planned as they are attacked by the anti-Romeo squad and political hooligans.",2018-11-16,['Vishal Mishra'],Yes,No,No,No,Yes,No,No,No,No,No,tt8706852,"Kunaal Roy Kapur, Zeishan Quadri, Karishma Sharma",No,No,No
Mohalla Assi,['Drama'],An idealist Sanskrit teacher deals with issues like commercialization of religion as things around him change and he struggles to keep up. But is he ready to pay the price?,2018-11-16,['Chandra Prakash Dwivedi'],Yes,No,No,No,Yes,No,No,No,No,No,tt4949324,"Sunny Deol, Sakshi Tanwar, Ravi Kishan",No,No,No
Bhor,['Drama'],"Budhni, a poor girl from Bihar’s Mushar community, is split between her desire to study and her family’s demand for marriage. She agrees to marry Sugan after he promises her to let her continue her studies. After marriage, she faces another challenge ending the practice of open defecation. Sugan again supports and facilitates her with innovative makeshift toilet in the house. Bhor captures the nuances and emotions that define the relationship between Budhni and Sugan as she fights for education and sanitation.",2018-11-20,['Kamakhya Narayan Singh'],Yes,No,No,No,Yes,No,No,No,No,No,tt7687138,"Devesh Ranjan, Nalneesh Neel, Saveree Gaur",No,No,No
Kanika,"['Crime', ' Drama']","A woman takes an evening stroll in suburban Mumbai, narrating the story of her elope. The end will move you.’ Watch Girliyapa’s first short film “Kanika” to know her story.",2018-11-23,['Pranav Bhasin'],Yes,No,No,No,Yes,No,No,No,No,No,tt10570062,"Ruhi Khan, Nidhi Bisht, Jyotika Kukrety",No,No,No
The Dark Side of Life: Mumbai City,['Drama'],"Set in the city of Mumbai, The Dark Side of Life: Mumbai City is a multi-plotted story which revolves around the lives of seven individuals who are pushed to the brink of depression while battling their emotional and financial problems. Will they fight through it or will they succumb to their circumstances?",2018-11-23,['Tariq Khan'],Yes,No,No,No,Yes,No,No,No,No,No,tt9007142,"Mahesh Bhatt, Avii, Sayed Gul",No,No,No
Zakir Khan: Kaksha Gyarvi,['Comedy'],"Zakir Khan is back, and this time he takes you down the memory lane by reminiscing about school, friends and everything that era signified for Zakir. Right from survival to bullying he shares every hysterical and amusing story from his book of memories.",2018-11-23,['Angshuman Ghosh'],No,No,No,Yes,Yes,No,No,No,No,No,tt9105088,Zakir Khan,No,No,No
Bhaiaji Superhitt,"['Action', ' Thriller', ' Comedy']","A kind-hearted goon decides to get his wife back by making a film on their love story, while his arch nemesis tries to thwart his plans.",2018-11-23,['Neeraj Pathak'],No,No,Yes,Yes,Yes,No,No,No,No,No,tt2150177,"Preity G Zinta, Sunny Deol, Arshad Warsi",No,No,No
Tashi,['Drama'],"Tashi explores various facets of life, with a focus on the simple story telling about the delicate relationships between parents and their children, between siblings, between spouses as well as between strangers. The name of the film, Tashi, is inspired by the Tibetan word, meaning 'auspiciousness'.",2018-12-01,['Shilpa Krishnan Shukla'],Yes,No,No,No,Yes,No,No,No,No,No,tt8476138,"Tania Mukherjee, Anvita Gupta, Ila Maheshwari",No,No,No
Dear Molly,['Drama'],A wonderfully poignant story based on a father-daughter relationship. The film explores the journey of a daughter in search of her father in Sweden. The protagonist Molly had last seen her father when she was five years old.,2022-06-01,['Gajendra Vitthal Ahire'],Yes,No,No,No,No,Yes,No,No,No,No,tt9408648,"Alok Rajwade, Gurbani Gill, Mrinmayee Godbole",No,No,No
Kedarnath,['Romance'],"Mansoor, a reserved and reticent Pithoo (porter), helps pilgrims make an arduous journey upwards to the temple town. His world turns around when he meets the beautiful and rebellious Mukku who draws him into a whirlwind of intense love.",2018-12-07,['Abhishek Kapoor'],No,Yes,No,No,Yes,No,No,No,No,No,tt7027278,"Nitish Bharadwaj, Sara Ali Khan, Sushant Singh Rajput",No,No,No
Through the Rainbow,['Short'],"The story revolves around Aryan, a gay, as he recollects his journey through college life among archaic societal norms of love and relationships that changed his life. The film is based on the theme L.G.B.T.Q and the problems faced by them by the society as how it still considers them a taboo.",2018-12-08,['Shivam Jemini'],No,No,No,No,Yes,No,No,No,No,No,tt11604654,"Akash Parashar, Pourush Singh, Pratyush Sharma",No,No,No
Bhaagte Raho,['Comedy'],"How the life of an innocent cook (Abhay Raichand) who works in a military cantonment takes a twist and turns wherein he meets more 9 innocent and idiot people takes the audience on the laughter ride. The cook with dreams of creating his own army with 9 stupid people trains them, that makes the situation more comic. He finds his love (Riya Deepsi) at the same time and entangled with an unconditional term for achieving his love,",2018-12-14,['Praful D.S. Tiwari'],No,No,No,Yes,Yes,No,No,No,No,No,tt8933330,"Ali Abbas, Badrish Chhabra, Riya Deepsi",No,No,No
Ascharya Fuck It,"['Thriller', ' Drama']","Desire and greed intertwines the lives of a Bollywood star, his chauffeur, a prostitute and her pimp in an unlikely love story.",2018-12-18,['Samit Kakkad'],Yes,No,No,No,Yes,No,No,No,No,No,tt6531196,"Vaibhav Raj Gupta, Ankit Raj, Priyanka Bose",No,No,No
Maya,"['Drama', ' Thriller']",Get into the world of Maya. Where a love story goes on over a series of phone calls and some mysteries,2018-12-19,['Aniruddha Roy Chowdhury'],Yes,No,No,No,Yes,No,No,No,No,No,tt7899630,"Raju Raman, Padmapriya, Abir Chatterjee",No,No,No
Zero,"['Romance', ' Drama', ' Comedy']","Short in stature but big on love, a bachelor meets two very different women who broaden his horizons and help him find purpose in life.",2018-12-21,['Aanand L. Rai'],Yes,Yes,No,Yes,Yes,No,No,No,No,No,tt6527426,"Katrina Kaif, Anushka Sharma, Shah Rukh Khan",No,No,No
Simmba,"['Action', ' Comedy', ' Crime', ' Drama']",A corrupt police officer enjoys all the perks of being an immoral and unethical police officer until an event which transforms his life completely and forces him to choose the righteous path.,2018-12-28,['Rohit Shetty'],Yes,No,Yes,Yes,Yes,No,No,No,No,No,tt7212726,"Sara Ali Khan, Sonu Sood, Ranveer Singh",No,No,No
Antim Paath,['Drama'],Antim Paath is a journey of a young boy who reaches his school very late and learns a truth from his Hindi teacher which shakes him to the core,2018-12-31,['Pallav Goel'],Yes,No,No,No,Yes,No,No,No,No,No,tt9140640,"Sandeepan Nagar, Rakhi Chauhan Mehta, Tapasya Dasgupta",No,No,No
Ek Gulelbaaz the Catapult,"['Drama', ' Family']","Desperate to save his sole parent, a young boy from a marginalised community tries his best to survive and earn in a hostile society.",2019-01-01,['Manoj Kumar'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt10263986,"Aishwarya Arora, Hemant Pandey, Gauri Shankar",No,No,No
Verdict,['Mystery'],"A charted accountant, Kabir Mehra is laying down unconscious on a dusty floor. When he regains his consciousness, he finds out he is in an abandoned place, most probably a godown which is completely locked.",2019-01-01,['Utkarsh Dev'],No,Yes,No,No,Yes,No,No,No,No,No,tt11333404,Piyush Wankhede,No,No,No
The Last Color,['Drama'],"The film is the screen adaptation of Chef Vikas Khanna's novel The Last Color, which follows the friendship between a young tight-rope walker and a widow named Noor in Banaras. The duo yearns to play with colors on the occasion of Holi, but Noor and the other widows are held back by tradition.",2019-01-04,"['Vikas Khanna', 'Anuj Tyagi']",Yes,No,No,No,Yes,No,No,No,No,No,tt9602804,"Anshika, Ankita, Vajid Ali",No,No,No
Cabaret,"['Music', ' Romance', ' Drama']",Cabaret is an Indian romantic dance film directed by Kaustav Narayan Niyogi and produced by Pooja Bhatt and Bhushan Kumar under the banner of Fisheye Network private limited.,2019-01-08,"['Kaustav Narayan Niyogi', 'Gill Shubham', 'Goswami Mahesh Gari Tulsigiri']",Yes,Yes,No,No,Yes,No,No,No,No,No,tt5605730,"Akshay Anand, Gulshan Devaiah, Richa Chadha",No,No,No
Khatoon Ki Khidmat,"['Drama', ' Family']",A  satire based on the life of a man caught between an educated wife and an orthodox father.,2019-01-09,['Saheem Khan'],Yes,No,No,Yes,Yes,No,No,No,No,No,tt11355002,"Saheem Khan, Omkar Das, Manoj Bakshi",No,No,No
Khamiyaza,"['Action', ' Drama']","Khamiyaza is the story of a common man Abhimanyu who dares to save the life of a social worker Satya Prakash without knowing that Satya Prakash is on Mantri's target. so in return, Abhimanyu sacrifices his own life for his good deeds Khamiyaza is a story of corruption",2019-01-11,['Deekshit Kaul'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt9078990,"Heramb Tripathi, Alok Chaturvedi, Piyali Munshi",No,No,No
706,['Thriller'],"Dr.Suman Asthana is a doctor, whose husband Anil Asthana is missing since last 11 days and investigating officer DCP Shekhawat is unable to find him. A psychic child patient revels the whereabouts of Dr.Anil and opens the doors of secrets.",2019-01-11,['Shravan Tiwari'],No,No,No,No,Yes,No,No,No,No,No,tt9390026,"Mohan Agashe, Divya Dutta, Raayo S. Bakhirta",No,No,No
Battalion 609,"['Action', ' War', ' Drama']",The story of Battalion 609 revolves around a cricket match between the Indian Army and the Pakistan army gone wrong and narrates the tale of the brave soldiers of Battalion 609 putting up a fight with the mighty Taliban.,2019-01-11,['Brijesh Batuknath Tripathi'],Yes,No,Yes,No,Yes,No,No,No,No,No,tt9472208,"Shoaib Ibrahim, Farnaz Shetty, Elena Kazan",No,No,No
